"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"200968_s_at",0.858998364956371,10.3688988840248,3.60982348521186,0.00044813215809785,0.00242158783791263,-0.998484723563111
"202122_s_at",0.791966617499938,8.32108919933058,3.60971940074123,0.000448294263827626,0.00242222441691624,-0.99882441015033
"1555866_a_at",0.585384030442262,5.72920238010744,3.60962032562852,0.000448448619236532,0.0024228189977033,-0.999147741058729
"201413_at",-0.84555894882814,9.89023236349587,-3.60856578502159,0.000450094670037475,0.00243147179965408,-1.00258878502057
"212244_at",-0.721420925920885,7.07683729797521,-3.60842837040178,0.000450309582865928,0.00243239245635197,-1.00303711961987
"205249_at",-1.06750178262789,7.46137541131405,-3.6083541763878,0.000450425660646394,0.0024327791164518,-1.00327918236597
"215592_at",0.65048704742928,3.07418897640496,3.60759521545362,0.000451614692740783,0.0024389602257608,-1.0057551116679
"236769_at",0.55435882671152,3.08515854629752,3.6065812591125,0.000453207843739173,0.00244732235619154,-1.00906224996646
"207335_x_at",-0.498076434902247,10.9855362054463,-3.60646561757584,0.000453389879292285,0.00244806356412262,-1.00943938104822
"223662_x_at",0.599754225318366,9.14829625892562,3.60643346459495,0.00045344050474307,0.00244809515126171,-1.00954423687448
"232629_at",-0.0566056918376709,2.32470520901653,-3.60604883566472,0.000454046524203446,0.00245112497144781,-1.01079851287171
"241734_at",-0.463511275041318,3.32616022141322,-3.6058850738763,0.000454304778677051,0.00245227700406435,-1.01133250789384
"219094_at",-0.378481827470055,3.1885856302562,-3.60568976762435,0.000454612960641701,0.00245369828460859,-1.01196933774148
"236951_at",0.614169052100652,4.14185350893388,3.60546349863791,0.000454970246983082,0.00245538429116573,-1.01270709229515
"224861_at",-1.03942360419238,7.28077605305785,-3.60542427483325,0.000455032209664825,0.00245547631893252,-1.01283497851149
"236041_at",0.704248923080288,3.97758292933058,3.60437248113003,0.000456696727089835,0.00246421529198034,-1.0162638545846
"215566_x_at",0.481378796005608,5.84082046104132,3.60429139845176,0.00045682528312524,0.00246466571490749,-1.01652815294769
"221755_at",0.796108232786734,4.0207209093719,3.60417581544222,0.000457008598307259,0.00246541145658109,-1.0169049008696
"217619_x_at",0.496044515135703,5.48601304147107,3.60411791545718,0.000457100454073444,0.00246566370624167,-1.01709362477709
"228526_at",-0.131110451540748,2.39476319023967,-3.6039372048092,0.000457387255715328,0.00246679055561146,-1.01768263205285
"1561639_at",-0.232210265720048,2.36471805800826,-3.60392943470842,0.000457399591271861,0.00246679055561146,-1.01770795734376
"1552910_at",-0.417000177941203,2.5201883998595,-3.60369418609499,0.000457773213083137,0.00246856203031073,-1.01847468847414
"202428_x_at",-0.654418865461068,11.8603048273967,-3.60330558578142,0.000458391019631198,0.00247164980259721,-1.01974114114027
"218357_s_at",-0.635674541541377,10.051886752438,-3.60293935984296,0.000458973975755134,0.00247454907054649,-1.02093457501526
"1552800_at",-0.203834029240399,2.40872203857851,-3.60283256098546,0.000459144109361365,0.00247522226181549,-1.02128258600304
"221779_at",0.848003413533326,5.92504573484297,3.60271458291258,0.000459332121035121,0.00247599169058417,-1.02166701554973
"215338_s_at",0.787554737954696,7.56736786598347,3.60152487621771,0.000461232125079141,0.00248598841075533,-1.02554308914273
"204916_at",1.34557667961366,5.18442231995041,3.60112226616278,0.000461876787394228,0.00248921767873627,-1.02685456277378
"232245_at",-0.284019538373906,2.52079642807438,-3.6009381782556,0.0004621718338581,0.00249056229215372,-1.02745417678023
"1570537_a_at",-0.120170856006786,2.34188336504132,-3.60089418550807,0.000462242369485728,0.00249069691057773,-1.02759746699672
"218131_s_at",0.74361114144847,7.64683199902479,3.60036250320667,0.000463095645096449,0.00249504871853058,-1.02932911552591
"203496_s_at",1.18170830066737,7.04689294180992,3.59988389383377,0.000463865018449248,0.00249894766811633,-1.03088773378263
"225156_at",0.587275380981842,7.27360995165289,3.59979681567792,0.000464005127946571,0.00249945619413584,-1.03117129076792
"229650_s_at",-0.546574942112608,5.82293530903306,-3.59942593184197,0.000464602331074993,0.00250242660344057,-1.03237895672169
"217791_s_at",0.794324661288988,5.48823088818182,3.59936836925246,0.000464695084348652,0.00250267964310112,-1.03256638212709
"229965_at",0.661915236804835,3.98023855486777,3.59899038921659,0.000465304575807576,0.00250571532377418,-1.03379703585308
"1566688_at",-0.0333162774474176,2.3223463916281,-3.59877917691375,0.000465645483687804,0.00250730419742275,-1.03448467032115
"238694_at",1.02570182320472,5.19452832783471,3.59872608703396,0.000465731210672517,0.00250751885214376,-1.03465750757018
"213875_x_at",-0.849740646893158,6.26799797361157,-3.59793405091968,0.000467011924103477,0.0025141666946,-1.03723578460532
"200010_at",-0.647175156260831,10.8860260159752,-3.59719362010042,0.000468212200345823,0.00252038023569045,-1.0396456606674
"238063_at",0.939682173960362,5.81797295956198,3.59676006343171,0.000468916369893556,0.00252392228036328,-1.04105656997555
"212149_at",0.68913267359382,9.40426469072727,3.59657094063173,0.000469223850631455,0.0025253286773575,-1.04167198328275
"244517_x_at",-0.153599773736994,2.34886821258678,-3.59649375472613,0.000469349396186965,0.00252575573194117,-1.04192314188997
"227191_at",-0.826992400192918,4.28458273123967,-3.59637943457939,0.00046953540017299,0.0025263754242577,-1.0422951252693
"233581_at",-0.103755657511324,2.33267423621488,-3.59636618336161,0.000469556964998751,0.0025263754242577,-1.04233824245025
"220546_at",0.39429121746942,3.53328031630579,3.59619541792357,0.00046983494973679,0.00252762234348706,-1.04289387234827
"202323_s_at",0.702536910801409,7.94475385970248,3.59577609716256,0.000470518211025733,0.00253104911332467,-1.04425815179346
"225193_at",0.716400692609118,5.30759157845455,3.5952973985272,0.000471299372705443,0.00253500179072013,-1.0458154634636
"233841_s_at",1.10715501981783,5.68094276902479,3.59521850401124,0.000471428233795998,0.00253544547342083,-1.04607210862186
"221452_s_at",-1.02615756865505,9.19583927547934,-3.59513487673109,0.000471564861402285,0.00253593083477623,-1.04634414459366
"235508_at",0.708965957472819,4.69257633747107,3.59504038505356,0.0004717192839203,0.00253651178681573,-1.04665151586108
"204555_s_at",0.471873293799751,3.60224684132231,3.59488735771691,0.00047196946933743,0.00253760750673852,-1.04714928354906
"236288_at",0.57319556574997,4.69077219633884,3.59464511261529,0.00047236577371727,0.00253948856224108,-1.04793722414806
"207715_at",-0.132145780839403,2.34831212195868,-3.59423587035208,0.000473035993588242,0.00254284170184221,-1.04926825245232
"215561_s_at",-0.51005745952774,3.22027302580165,-3.59414653495848,0.000473182418376739,0.00254337875783997,-1.0495587925884
"219372_at",0.715799159630041,6.16495855678512,3.59400175534076,0.000473419809687385,0.00254430822642909,-1.05002963830759
"1560147_at",-0.0882405661584085,2.33347586999174,-3.5939843164017,0.000473448411443797,0.00254430822642909,-1.0500863514061
"221012_s_at",-0.767590914345666,9.12168414472727,-3.59393583934362,0.000473527927664785,0.00254448544914714,-1.05024400227446
"226294_x_at",0.647811109645301,8.37823925458678,3.59382573035281,0.00047370858472173,0.00254509123708371,-1.0506020782504
"1555175_a_at",-0.136302602296955,2.35346155703306,-3.59381038723866,0.000473733763508019,0.00254509123708371,-1.05065197357127
"222423_at",-0.803138072570208,9.23287981852066,-3.5935974462164,0.000474083340468472,0.00254671906466042,-1.05134443333018
"239373_at",0.538716909078599,3.13838266786777,3.59355214277573,0.000474157744781289,0.00254686852302947,-1.05149175065955
"240824_at",0.646359852269211,2.96696055493388,3.59338183857349,0.000474437543332872,0.0025480089280558,-1.05204553099765
"240673_at",0.481427009371015,3.1560625506281,3.59336618870533,0.000474463262853884,0.0025480089280558,-1.05209641881337
"31807_at",0.681982130563299,6.45826174003306,3.59332727356234,0.000474527223020388,0.0025481021330426,-1.05222295627087
"1568983_a_at",0.945143213092158,4.08580879190909,3.59303400245816,0.000475009499652038,0.00255044136241532,-1.05317652850175
"243696_at",0.462254015975656,3.45526624363636,3.59295503793315,0.000475139433820461,0.00255088850590472,-1.05343327128657
"203982_s_at",-0.110529345142558,2.36209252052893,-3.59284451391596,0.000475321354723737,0.00255161463618265,-1.05379261799163
"243091_at",0.564153879152677,5.60228219340496,3.59278503481659,0.000475419283669191,0.00255188978348842,-1.05398599868873
"1553252_a_at",0.750447115278816,4.66072819560331,3.59225568984838,0.000476291659768629,0.00255632143887796,-1.05570691158327
"231950_at",-0.630191877586007,3.19798097158678,-3.59220339970388,0.000476377917464655,0.00255653343515705,-1.05587689699446
"218354_at",-0.776603296226887,7.36624702708265,-3.5919953750571,0.000476721220533681,0.00255781194881255,-1.0565531262228
"208953_at",0.860368244653241,5.34351405104959,3.59197821453879,0.000476749550966302,0.00255781194881255,-1.05660890880207
"1553995_a_at",-0.502155037395401,2.59657290739669,-3.59197400620991,0.00047675649877181,0.00255781194881255,-1.05662258850991
"214374_s_at",1.03820090402711,6.58993462768595,3.59169990021816,0.000477209244298956,0.00255988301395309,-1.05751357709334
"234095_at",0.728860570802011,3.39223123371901,3.5916836066845,0.00047723616938681,0.00255988301395309,-1.05756653792099
"1556806_at",0.502779269448517,2.83273770586777,3.59151402495806,0.00047751648861984,0.00256113537524914,-1.05811773827753
"1560981_a_at",-0.311852167147089,2.46126777633884,-3.59146030140265,0.000477605326288555,0.0025613605899781,-1.05829235439129
"203584_at",-0.865040454606975,8.17822915077686,-3.59067828447646,0.00047890024375275,0.00256805323922926,-1.06083388330677
"200603_at",-0.733440512932221,10.8252720348595,-3.59060220756821,0.000479026393943947,0.00256847779630139,-1.06108110694459
"204459_at",0.589268314629487,4.43049710918182,3.5902553559667,0.000479601938610638,0.00257131162909753,-1.06220820124839
"210598_at",0.671941270083672,4.81733604190083,3.59017621755902,0.000479733347585309,0.00257176397482369,-1.06246534923054
"244682_at",0.625540113515251,3.35446592914876,3.58994614848711,0.000480115569395472,0.00257345991030507,-1.06321289708573
"213278_at",-0.695668110183316,6.02490983516529,-3.5899291375348,0.000480143841701362,0.00257345991030507,-1.06326816809009
"215483_at",0.795642832989786,4.82098941926446,3.58985540786849,0.000480266399029395,0.00257386447431211,-1.06350772382909
"203568_s_at",0.703071995292355,7.42694445150413,3.58930245688976,0.000481186485240248,0.00257854269141532,-1.06530419572414
"222315_at",-0.758775520819046,3.64020964700826,-3.58916831794022,0.00048140993732158,0.00257948729155796,-1.06573996362502
"244019_at",0.435643804746018,3.11904444006612,3.58898140938198,0.000481721457759915,0.002580903547577,-1.06634713863214
"201062_at",-0.171730319388585,2.35820748056198,-3.58818931676103,0.00048304375225755,0.00258773438709402,-1.06891997981237
"238516_at",-0.142241835926498,2.35818202642149,-3.58814339023398,0.00048312052558519,0.00258789210702168,-1.06906914235881
"230206_at",1.13502846024261,6.23554884866116,3.58747165645529,0.000484244750554853,0.00259366004472831,-1.07125065835219
"243291_at",0.696337066048612,3.86336634416529,3.58735183832113,0.000484445539636084,0.00259448132820089,-1.07163974398128
"213550_s_at",-0.933884915647661,3.63612916914876,-3.58721390714017,0.000484676779576754,0.00259546551648962,-1.07208763518167
"240108_at",0.52071505356841,5.26803288719835,3.5871355019663,0.000484808271350805,0.0025958999988858,-1.07234222688872
"200969_at",0.636509132477865,9.76282507521488,3.58710891217203,0.000484852872219878,0.0025958999988858,-1.07242856636103
"1559705_s_at",-0.0991251322517335,2.34079407380992,-3.58666347187887,0.00048560061585179,0.00259964884673422,-1.07387487474096
"218204_s_at",-0.866403946044183,7.6975411624876,-3.58656424788526,0.000485767327612679,0.0026002867277485,-1.07419702727574
"211537_x_at",-0.508178348816776,3.31420447775207,-3.58641866159348,0.000486012033076122,0.00260128312801547,-1.0746696922256
"239909_at",-0.136145777300933,2.36537597747107,-3.58639689884062,0.000486048622511314,0.00260128312801547,-1.07474034652351
"214059_at",1.39201391852599,4.4933062707438,3.58629211370836,0.000486224832815,0.00260197149203877,-1.07508053394429
"215785_s_at",1.41377064480537,7.76436546935537,3.5859634791853,0.000486777867330649,0.00260467605170319,-1.07614740181079
